artist,song,section,url,chord_progression
Buddy Holly,That'll Be The Day,Verse,http://www.hooktheory.com/theorytab/view/buddy-holly/thatll-be-the-day#verse,"1,4,1,4"
Daughtry,Home,Chorus,http://www.hooktheory.com/theorytab/view/daughtry/home#chorus,"1,4,1,4"
Daughtry,Home,Pre-Chorus,http://www.hooktheory.com/theorytab/view/daughtry/home#pre-chorus,"1,4,1,4"
Daughtry,Home,Verse,http://www.hooktheory.com/theorytab/view/daughtry/home#verse,"1,4,1,4"
Elton John,Levon,Intro,http://www.hooktheory.com/theorytab/view/elton-john/levon#intro,"1,4,1,4"
Elton John,Levon,Verse,http://www.hooktheory.com/theorytab/view/elton-john/levon#verse,"1,4,1,4"
Fun,Some Nights,Chorus,http://www.hooktheory.com/theorytab/view/fun/some-nights#chorus,"1,4,1,4"
John Lennon,Imagine,Verse,http://www.hooktheory.com/theorytab/view/john-lennon/imagine#verse,"1,4,1,4"
Kenny Rogers,The Gambler,Chorus,http://www.hooktheory.com/theorytab/view/kenny-rogers/the-gambler#chorus,"1,4,1,4"
Luis Bacalov,Django Unchained Theme,Verse,http://www.hooktheory.com/theorytab/view/luis-bacalov/django-unchained-theme#verse,"1,4,1,4"
Matt Nathanson,Come On Get Higher,Chorus,http://www.hooktheory.com/theorytab/view/matt-nathanson/come-on-get-higher#chorus,"1,4,1,4"
Miller 64,Living The Dream,Chorus,http://www.hooktheory.com/theorytab/view/miller-64/living-the-dream#chorus,"1,4,1,4"
Mumford and Sons,The Cave,Chorus,http://www.hooktheory.com/theorytab/view/mumford-and-sons/the-cave#chorus,"1,4,1,4"
Neon Trees,Everybody Talks,Verse,http://www.hooktheory.com/theorytab/view/neon-trees/everybody-talks#verse,"1,4,1,4"
One Direction,Live While We're Young,Verse,http://www.hooktheory.com/theorytab/view/one-direction/live-while-were-young#verse,"1,4,1,4"
Peter Paul and Mary,Blowin' In The Wind,Verse,http://www.hooktheory.com/theorytab/view/peter-paul-and-mary/blowin-in-the-wind#verse,"1,4,1,4"
Phantom Planet,California,Intro,http://www.hooktheory.com/theorytab/view/phantom-planet/california#intro,"1,4,1,4"
Pink Floyd,In The Flesh,Verse,http://www.hooktheory.com/theorytab/view/pink-floyd/in-the-flesh#verse,"1,4,1,4"
Radiohead,Karma Police,Outro,http://www.hooktheory.com/theorytab/view/radiohead/karma-police#outro,"1,4,1,4"
The Rolling Stones,Satisfaction,Chorus,http://www.hooktheory.com/theorytab/view/the-rolling-stones/satisfaction#chorus,"1,4,1,4"
They Might Be Giants,Birdhouse In Your Soul,Verse,http://www.hooktheory.com/theorytab/view/they-might-be-giants/birdhouse-in-your-soul#verse,"1,4,1,4"
Usher,DJ Got Us Fallin' In Love,Verse,http://www.hooktheory.com/theorytab/view/usher/dj-got-us-fallin-in-love#verse,"1,4,1,4"
Swedish House Mafia,Don't You Worry Child,Chorus,http://www.hooktheory.com/theorytab/view/swedish-house-mafia/dont-you-worry-child#chorus,"1,4,1,4"
Vangelis,Chariots of Fire,Verse,http://www.hooktheory.com/theorytab/view/vangelis/chariots-of-fire#verse,"1,4,1,4"
Green Day,Oh Love,Intro and Verse,http://www.hooktheory.com/theorytab/view/green-day/oh-love#intro-and-verse,"1,4,1,4"
They Might Be Giants,Weep Day,Verse,http://www.hooktheory.com/theorytab/view/they-might-be-giants/weep-day#verse,"1,4,1,4"
Brooke Fraser,Something In The Water,Chorus,http://www.hooktheory.com/theorytab/view/brooke-fraser/something-in-the-water#chorus,"1,4,1,4"
The Temptations,Ain't Too Proud to Beg,Chorus,http://www.hooktheory.com/theorytab/view/the-temptations/aint-too-proud-to-beg#chorus,"1,4,1,4"
John Mayer,Gravity,Verse,http://www.hooktheory.com/theorytab/view/john-mayer/gravity#verse,"1,4,1,4"
Simon and Garfunkel,Bridge over Troubled Water,Verse,http://www.hooktheory.com/theorytab/view/simon-and-garfunkel/bridge-over-troubled-water#verse,"1,4,1,4"
The Secret Sisters,Tomorrow Will Be Kinder,Verse,http://www.hooktheory.com/theorytab/view/the-secret-sisters/tomorrow-will-be-kinder#verse,"1,4,1,4"
The Ashes,Hugo's Melancholic Slalom,Verse,http://www.hooktheory.com/theorytab/view/the-ashes/hugos-melancholic-slalom#verse,"1,4,1,4"
My Little Pony,Giggle at the Ghosty,Intro and Verse,http://www.hooktheory.com/theorytab/view/my-little-pony/giggle-at-the-ghosty#intro-and-verse,"1,4,1,4"
Creed,Higher,Verse,http://www.hooktheory.com/theorytab/view/creed/higher#verse,"1,4,1,4"
Warren Zevon,Things To Do In Denver When You're Dead,Verse,http://www.hooktheory.com/theorytab/view/warren-zevon/things-to-do-in-denver-when-youre-dead#verse,"1,4,1,4"
Pink,Trouble,Chorus,http://www.hooktheory.com/theorytab/view/pink/trouble#chorus,"1,4,1,4"
